district,City,Barangay,brgy_area_sqm,flood5_sqm_final,flood25_sqm_final,flood100_sqm_final,Population_2020
Metropolitan Manila Second District,San Juan,Greenhills,1885554.1,495155.89,640146.34,671702.2,3148
Metropolitan Manila Third District,Caloocan,Barangay 1,34127.55,0,409.21,2056.35,2319
Metropolitan Manila Third District,Caloocan,Barangay 2,53949.35,11448.81,16622.29,21442.23,5156
Metropolitan Manila Third District,Caloocan,Barangay 3,40310.49,4638.91,8688.99,11506.82,2497
Metropolitan Manila Third District,Caloocan,Barangay 4,65815.62,13637.15,20325.69,25394.7,2875
Metropolitan Manila Third District,Caloocan,Barangay 5,66362.88,3844.04,7369.97,10391.72,3083
Metropolitan Manila Third District,Caloocan,Barangay 6,27622.18,5316.88,7788.46,10168.93,1190
Metropolitan Manila Third District,Caloocan,Barangay 7,49772.32,2929.32,6972.17,11003.54,2608
Metropolitan Manila Third District,Caloocan,Barangay 8,308364.46,160679.67,196976.09,213958.13,23399
Metropolitan Manila Third District,Caloocan,Barangay 9,93820.9,24012.09,31955.39,31711.75,1866
Metropolitan Manila Third District,Caloocan,Barangay 10,21638.77,901.67,1543.16,1966.81,1485
Metropolitan Manila Third District,Caloocan,Barangay 11,32599.63,4773.75,5674.18,6492.26,1230
Metropolitan Manila Third District,Caloocan,Barangay 12,299558.55,158683.84,217838.79,242573.14,34309
Metropolitan Manila Third District,Caloocan,Barangay 13,50271.29,0,200,656.96,1074
Metropolitan Manila Third District,Caloocan,Barangay 14,416963.99,116213.41,192558.57,257601.25,21906
Metropolitan Manila Third District,Caloocan,Barangay 15,57054.49,2008.89,3012.58,1878.96,1424
Metropolitan Manila Third District,Caloocan,Barangay 16,65547.02,39179.93,48396.65,49740.32,3550
Metropolitan Manila Third District,Caloocan,Barangay 17,47212.55,12180.98,14702.56,14377.32,3419
Metropolitan Manila Third District,Caloocan,Barangay 18,103864.94,71420.89,80699.97,81641.95,10932
Metropolitan Manila Third District,Caloocan,Barangay 19,45281.24,19011.32,21479.36,24056.33,3655
Metropolitan Manila Third District,Caloocan,Barangay 20,112072.92,61542.36,84906.47,91538.72,7892
Metropolitan Manila Third District,Caloocan,Barangay 21,50320.47,10989.66,13495.82,16145.74,2787
Metropolitan Manila Third District,Caloocan,Barangay 22,118120.23,24676.42,54222.68,71021.36,5653
Metropolitan Manila Third District,Caloocan,Barangay 23,34310.92,1343.56,8129.36,16408.98,2736
Metropolitan Manila Third District,Caloocan,Barangay 24,34947.08,18702.92,33227.6,34047.98,2498
Metropolitan Manila Third District,Caloocan,Barangay 25,35971.5,3424.05,4537.9,6391.01,1611
Metropolitan Manila Third District,Caloocan,Barangay 26,45058.28,11465.55,31287.05,34831.27,3734
Metropolitan Manila Third District,Caloocan,Barangay 27,47222.4,45681.82,47222.4,47222.4,2753
Metropolitan Manila Third District,Caloocan,Barangay 28,463777.4,245813.63,300637.59,292643.35,19306
Metropolitan Manila Third District,Caloocan,Barangay 29,20762.48,12837.05,13481.28,15486.59,2138
Metropolitan Manila Third District,Caloocan,Barangay 30,64699.42,51765.14,55654.73,55458.35,3688
Metropolitan Manila Third District,Caloocan,Barangay 31,62692.53,61092.53,62692.53,62492.53,3699
Metropolitan Manila Third District,Caloocan,Barangay 32,40004.48,32315.35,35216.48,36075.64,3227
Metropolitan Manila Third District,Caloocan,Barangay 33,72408.56,70925.9,72026.06,71439.55,4323
Metropolitan Manila Third District,Caloocan,Barangay 34,55916.73,55209.03,55916.73,55730.67,3392
Metropolitan Manila Third District,Caloocan,Barangay 35,241640.83,157183.06,180724.89,193356.47,10530
Metropolitan Manila Third District,Caloocan,Barangay 36,57384.47,26528.66,28827.94,25945.81,3035
Metropolitan Manila Third District,Caloocan,Barangay 37,49244.36,21115.88,25558.74,23044.66,2742
Metropolitan Manila Third District,Caloocan,Barangay 38,32781.68,242.84,342.84,483.86,3955
Metropolitan Manila Third District,Caloocan,Barangay 39,16030.54,1585.76,2415.66,3512.12,1537
Metropolitan Manila Third District,Caloocan,Barangay 40,22053.35,463.24,1072.49,1513.18,3196
Metropolitan Manila Third District,Caloocan,Barangay 41,36613.48,0,112.28,681.22,1292
Metropolitan Manila Third District,Caloocan,Barangay 42,23840.66,0,326.65,418.47,1130
Metropolitan Manila Third District,Caloocan,Barangay 43,39121.37,20878.18,25535.81,24630.67,1799
Metropolitan Manila Third District,Caloocan,Barangay 44,35692.1,7924.24,9724.24,8145.39,820
Metropolitan Manila Third District,Caloocan,Barangay 45,36797.47,990.4,1172.76,1331.87,1127
Metropolitan Manila Third District,Caloocan,Barangay 46,43039.35,19285.7,20894.99,19778.25,923
Metropolitan Manila Third District,Caloocan,Barangay 47,35643.06,956.86,1056.86,1448.15,1202
Metropolitan Manila Third District,Caloocan,Barangay 48,36616.89,1438.05,2555.46,2470.83,950
Metropolitan Manila Third District,Caloocan,Barangay 49,47707.17,33611.1,35859.47,36081.43,1954
Metropolitan Manila Third District,Caloocan,Barangay 50,31961.64,8784.88,11159.89,9864.79,1780
Metropolitan Manila Third District,Caloocan,Barangay 51,59405.05,2553.47,4305.05,3129.54,1620
Metropolitan Manila Third District,Caloocan,Barangay 52,38163.19,8593.11,10655.79,10916.44,3950
Metropolitan Manila Third District,Caloocan,Barangay 53,48186.06,13196.22,19017.85,19362.04,3436
Metropolitan Manila Third District,Caloocan,Barangay 54,75494.83,2405.16,6646.62,4133.37,2228
Metropolitan Manila Third District,Caloocan,Barangay 55,71503.88,1260.44,3502.74,2980.68,2658
Metropolitan Manila Third District,Caloocan,Barangay 56,38174.07,14592.91,16161.7,16442.2,2920
Metropolitan Manila Third District,Caloocan,Barangay 57,48702.89,11320.45,17406.58,19311.85,1138
Metropolitan Manila Third District,Caloocan,Barangay 58,49003.49,1862.6,4550.74,6134.68,1598
Metropolitan Manila Third District,Caloocan,Barangay 59,42695.33,13581.01,15455.26,16920.33,3928
Metropolitan Manila Third District,Caloocan,Barangay 60,48659.41,2513.27,5769.91,9137.22,1232
Metropolitan Manila Third District,Caloocan,Barangay 61,72399.88,12721.14,18888.41,18765.14,1622
Metropolitan Manila Third District,Caloocan,Barangay 62,73016.26,9800.57,16234.88,13571.63,2237
Metropolitan Manila Third District,Caloocan,Barangay 63,47611.93,19845.28,25065.95,25743.41,1583
Metropolitan Manila Third District,Caloocan,Barangay 64,25999.57,3009.02,4180.27,3676.12,3873
Metropolitan Manila Third District,Caloocan,Barangay 65,23160.35,6145.96,8422.26,9641.74,1894
Metropolitan Manila Third District,Caloocan,Barangay 66,39763.26,25101.05,30925.87,33764.42,2530
Metropolitan Manila Third District,Caloocan,Barangay 67,49403.93,5587.81,10378.59,11075.36,1950
Metropolitan Manila Third District,Caloocan,Barangay 68,55583.8,1564.93,4069.28,3233.91,1007
Metropolitan Manila Third District,Caloocan,Barangay 69,45467.92,14192.43,21422.17,21757.29,12270
Metropolitan Manila Third District,Caloocan,Barangay 70,41606.37,5869.27,9599.19,13506.53,2198
Metropolitan Manila Third District,Caloocan,Barangay 71,47415.52,7149.96,11509.32,13218.6,1905
Metropolitan Manila Third District,Caloocan,Barangay 72,53851.89,18810.87,31095.87,33344.12,2229
Metropolitan Manila Third District,Caloocan,Barangay 73,148737.88,9676.73,13361.22,12591.37,17303
Metropolitan Manila Third District,Caloocan,Barangay 74,58399.43,5986,8136.35,5937.32,1263
Metropolitan Manila Third District,Caloocan,Barangay 75,37614.15,9498.24,14458.58,20621.21,1233
Metropolitan Manila Third District,Caloocan,Barangay 76,21559.88,3981.68,7061.45,7348.19,852
Metropolitan Manila Third District,Caloocan,Barangay 77,57994.81,9188.08,16927.81,19179.33,1633
Metropolitan Manila Third District,Caloocan,Barangay 78,65266.61,22463.17,33844.3,31172.34,1647
Metropolitan Manila Third District,Caloocan,Barangay 79,87142.51,8113.22,15552,16897.25,2930
Metropolitan Manila Third District,Caloocan,Barangay 80,300850.55,30348.66,41004.23,48875.04,2789
Metropolitan Manila Third District,Caloocan,Barangay 81,67781.1,11472.54,19088.01,19594.07,23432
Metropolitan Manila Third District,Caloocan,Barangay 82,52471.22,12981.93,15242.07,16067.11,7074
Metropolitan Manila Third District,Caloocan,Barangay 83,56843.22,16482.16,21880.5,20009.45,3593
Metropolitan Manila Third District,Caloocan,Barangay 84,159353.3,12108.03,23324.2,30538.28,3055
Metropolitan Manila Third District,Caloocan,Barangay 85,47232.11,9988.84,14193.09,12578.24,6657
Metropolitan Manila Third District,Caloocan,Barangay 86,68404.16,12238.63,14536.26,14841.66,16503
Metropolitan Manila Third District,Caloocan,Barangay 87,80010.29,21596.01,30784.33,22615.33,6657
Metropolitan Manila Third District,Caloocan,Barangay 88,88031.89,11444.74,17608.77,21616.12,15934
Metropolitan Manila Third District,Caloocan,Barangay 89,74612.2,30960.95,47428.67,43690.71,4505
Metropolitan Manila Third District,Caloocan,Barangay 90,65171.31,4878.29,12464.67,13103.1,2974
Metropolitan Manila Third District,Caloocan,Barangay 91,85963.72,24790.41,42529.2,46839.34,2674
Metropolitan Manila Third District,Caloocan,Barangay 92,49221.66,18567.09,28469.13,21570.8,2782
Metropolitan Manila Third District,Caloocan,Barangay 93,59960.77,28674.95,41753.77,36276.14,19567
Metropolitan Manila Third District,Caloocan,Barangay 94,43062.31,2563.56,4827.12,3873.12,2250
Metropolitan Manila Third District,Caloocan,Barangay 95,79265.72,3963.42,8239.79,6631.85,4055
Metropolitan Manila Third District,Caloocan,Barangay 96,94303.97,27714.49,39894.5,31341.2,2607
Metropolitan Manila Third District,Caloocan,Barangay 97,40203.42,8517.49,11234.94,8765.99,4796
Metropolitan Manila Third District,Caloocan,Barangay 98,26126.13,193.32,807.33,680.61,3530
Metropolitan Manila Third District,Caloocan,Barangay 99,36749.99,1378.25,1716.99,873.72,13702
Metropolitan Manila Third District,Caloocan,Barangay 100,50219.18,1340.92,2867.4,2718.08,6696
Metropolitan Manila Third District,Caloocan,Barangay 101,117199,13167.97,21792.15,19897.75,5120
Metropolitan Manila Third District,Caloocan,Barangay 102,27982.06,5711.21,8108.99,6389.62,7262
Metropolitan Manila Third District,Caloocan,Barangay 103,72296.63,16302.08,23627.87,19277.17,3373
Metropolitan Manila Third District,Caloocan,Barangay 104,71678.57,13499.48,21965.18,23587.49,3634
Metropolitan Manila Third District,Caloocan,Barangay 105,93866.69,11154,17109.85,16940.43,4164
Metropolitan Manila Third District,Caloocan,Barangay 106,50068.04,1105.67,1899.5,7504.99,3700
Metropolitan Manila Third District,Caloocan,Barangay 107,47505.72,14841.22,23769.96,35675.65,3990
Metropolitan Manila Third District,Caloocan,Barangay 108,48326.47,33502.09,39865.5,40565.52,3950
Metropolitan Manila Third District,Caloocan,Barangay 109,73377.07,23237.75,30914.97,33608.98,4325
Metropolitan Manila Third District,Caloocan,Barangay 110,26954.41,1358.22,2559.77,4431.29,2530
Metropolitan Manila Third District,Caloocan,Barangay 111,24147.53,15183.2,17387.21,17143.79,2385
Metropolitan Manila Third District,Caloocan,Barangay 112,24595.82,905.98,2021.48,1372.66,2273
Metropolitan Manila Third District,Caloocan,Barangay 113,25378.95,3487.55,5823.53,4774.49,2425
Metropolitan Manila Third District,Caloocan,Barangay 114,12545.79,10920.29,11148.98,12196.29,2385
Metropolitan Manila Third District,Caloocan,Barangay 115,12711.54,3192.95,4479.07,3878.15,2658
Metropolitan Manila Third District,Caloocan,Barangay 116,25575.3,3373.47,6159.16,5367.97,5652
Metropolitan Manila Third District,Caloocan,Barangay 117,33527.74,3755.89,5223.28,6113.51,6090
Metropolitan Manila Third District,Caloocan,Barangay 118,208325.02,23580.11,30952.06,30546.18,12052
Metropolitan Manila Third District,Caloocan,Barangay 119,31206.4,2063.79,2776.71,2928.28,6678
Metropolitan Manila Third District,Caloocan,Barangay 120,109324.4,38016.16,45640.91,50871.24,11933
Metropolitan Manila Third District,Caloocan,Barangay 121,47908.6,1660.64,2785.64,5371.18,2705
Metropolitan Manila Third District,Caloocan,Barangay 122,50023.69,6391.93,10868.56,14990.65,2385
Metropolitan Manila Third District,Caloocan,Barangay 123,25727.09,1354.07,3276.08,2778.95,2685
Metropolitan Manila Third District,Caloocan,Barangay 124,26758.56,1943.26,3685.86,5851.37,1622
Metropolitan Manila Third District,Caloocan,Barangay 125,40025.75,18381.53,24015.78,27462.61,2385
Metropolitan Manila Third District,Caloocan,Barangay 126,44853.46,15555.21,22309.3,19281.26,13825
Metropolitan Manila Third District,Caloocan,Barangay 127,51344.96,14636.3,22147.14,25343.09,1382
Metropolitan Manila Third District,Caloocan,Barangay 128,45965.47,19014.09,26720.72,33405.62,1130
Metropolitan Manila Third District,Caloocan,Barangay 129,25199.37,6413.66,9838.72,13552.22,2530
Metropolitan Manila Third District,Caloocan,Barangay 130,24829.02,4073.53,6227.42,5651.57,1950
Metropolitan Manila Third District,Caloocan,Barangay 131,57518.87,27429.48,37304.27,18477.39,2225
Metropolitan Manila Third District,Caloocan,Barangay 132,50339.92,13468.04,15817.25,17935.11,15993
Metropolitan Manila Third District,Caloocan,Barangay 133,33946.46,9473.72,12792.88,15799.54,1799
Metropolitan Manila Third District,Caloocan,Barangay 134,85474.96,10582.6,14604.08,18262.4,1385
Metropolitan Manila Third District,Caloocan,Barangay 135,86309.93,5446.47,8612.48,10239.26,1780
Metropolitan Manila Third District,Caloocan,Barangay 136,86476.64,800.42,3235.25,3686.86,2225
Metropolitan Manila Third District,Caloocan,Barangay 137,84475.64,1598.49,1938.05,6086.38,1382
Metropolitan Manila Third District,Caloocan,Barangay 138,84761.59,21907.48,31657.33,19925.62,1202
Metropolitan Manila Third District,Caloocan,Barangay 139,108812.79,28408.21,38998.53,31950.53,1385
Metropolitan Manila Third District,Caloocan,Barangay 140,53778.37,2281.59,3033.95,5388.76,1232
Metropolitan Manila Third District,Caloocan,Barangay 141,73165.15,23319.22,31270.47,25846.14,1620
Metropolitan Manila Third District,Caloocan,Barangay 142,27943.86,290.59,290.59,291.7,2385
Metropolitan Manila Third District,Caloocan,Barangay 143,23837.19,449.6,1682.26,2691.89,1799
Metropolitan Manila Third District,Caloocan,Barangay 144,29965.56,37.45,37.45,1198.47,1950
Metropolitan Manila Third District,Caloocan,Barangay 145,30158.48,3563.79,5461.24,7117.47,1232
Metropolitan Manila Third District,Caloocan,Barangay 146,27220.44,0,300,1979.69,1385
Metropolitan Manila Third District,Caloocan,Barangay 147,39669.72,7016.39,10128.23,7750.65,1620
Metropolitan Manila Third District,Caloocan,Barangay 148,28387.4,0,0,3498.19,1202
Metropolitan Manila Third District,Caloocan,Barangay 149,40307.2,0,0,5357.22,1382
Metropolitan Manila Third District,Caloocan,Barangay 150,39270.22,1223.11,2154.32,833.62,1780
Metropolitan Manila Third District,Caloocan,Barangay 151,35493.4,25357.11,27867.24,24998.12,1620
Metropolitan Manila Third District,Caloocan,Barangay 152,30274.23,1981.39,2580.71,1742.31,2385
Metropolitan Manila Third District,Caloocan,Barangay 153,29084.92,6036.36,7469.13,4772.72,1232
Metropolitan Manila Third District,Caloocan,Barangay 154,35852.76,6159.88,9530.63,4555.8,1385
Metropolitan Manila Third District,Caloocan,Barangay 155,33622.25,6007.6,7971.26,3529.32,1799
Metropolitan Manila Third District,Caloocan,Barangay 156,51138.53,5388.09,9482.44,6593.53,1950
Metropolitan Manila Third District,Caloocan,Barangay 157,32895.6,3711.91,5353.26,2795.38,1202
Metropolitan Manila Third District,Caloocan,Barangay 158,304315.86,51264.93,64395.88,51555.96,1382
Metropolitan Manila Third District,Caloocan,Barangay 159,107639.53,16697.44,22160.63,17234.52,1620
Metropolitan Manila Third District,Caloocan,Barangay 160,467061.5,115923.89,153524.12,174788.84,16520
Metropolitan Manila Third District,Caloocan,Barangay 161,552581.33,124010.64,165055.55,190930.23,7074
Metropolitan Manila Third District,Caloocan,Barangay 162,566962.63,99583.67,144236.85,169397.69,15934
Metropolitan Manila Third District,Caloocan,Barangay 163,594891.95,78163.18,115628.93,122728.38,10530
Metropolitan Manila Third District,Caloocan,Barangay 164,601026.16,117164.62,198612.81,240052.79,17303
Metropolitan Manila Third District,Caloocan,Barangay 165,937139.51,155006.58,202641.32,134272.13,26357
Metropolitan Manila Third District,Caloocan,Barangay 166,1728329.74,266308.19,363251.34,205160.81,19985
Metropolitan Manila Third District,Caloocan,Barangay 167,2873647.42,761759.5,1021413.52,819535.72,57041
Metropolitan Manila Third District,Caloocan,Barangay 168,2158970.41,375646.14,505944.69,332711.12,37998
Metropolitan Manila Third District,Caloocan,Barangay 169,466437.41,100605.33,119137.94,111955.78,3779
Metropolitan Manila Third District,Caloocan,Barangay 170,625075.73,97802.68,123985.16,94065.63,6797
Metropolitan Manila Third District,Caloocan,Barangay 171,6153753.75,1054510.26,1320836.51,1019281.3,111713
Metropolitan Manila Third District,Caloocan,Barangay 172,1324074.5,273468.1,347087.52,303665.98,22572
Metropolitan Manila Third District,Caloocan,Barangay 173,913811.5,192350.42,238545.08,223819.81,14798
Metropolitan Manila Third District,Caloocan,Barangay 174,913096.92,102289.37,124927.94,107283.38,23293
Metropolitan Manila Third District,Caloocan,Barangay 175,2837884.89,507196.68,632947.38,660377.12,71726
Metropolitan Manila Third District,Caloocan,Barangay 176,4539838.68,570131.17,723885.62,456862.98,261729
Metropolitan Manila Third District,Caloocan,Barangay 177,2788163.83,396073.89,486531.41,474807.31,84159
Metropolitan Manila Third District,Caloocan,Barangay 178,2184178.2,271414.43,324475.08,342426.17,110224
Metropolitan Manila Third District,Caloocan,Barangay 179,2943212.76,334999.51,411941.58,387162.37,47395
Metropolitan Manila Third District,Caloocan,Barangay 180,862316.44,75640.61,91122.33,86852.82,13825
Metropolitan Manila Third District,Caloocan,Barangay 181,961735.87,85933.57,116438.46,96120.49,2385
Metropolitan Manila Third District,Caloocan,Barangay 182,840573.62,60518.3,72708.71,65609.47,3688
Metropolitan Manila Third District,Caloocan,Barangay 183,562528.68,42545.38,50315.35,44542.15,6657
Metropolitan Manila Third District,Caloocan,Barangay 184,273200.27,26595.49,32157.72,27895.5,3593
Metropolitan Manila Third District,Caloocan,Barangay 185,702788.54,82819.29,100408.93,89396.29,2138
Metropolitan Manila Third District,Caloocan,Barangay 186,1094175.96,146333.61,180612.99,99088.89,23432
Metropolitan Manila Third District,Caloocan,Barangay 187,639227.28,78876.34,92933.13,95650.11,6657
Metropolitan Manila Third District,Caloocan,Barangay 188,748671.33,94188.01,115958.48,75158.15,2228
Metropolitan Manila Third District,Malabon,Acacia,201704.93,36887.21,53812.59,65356.1,4959
Metropolitan Manila Third District,Malabon,Baritan,344215.47,96768.69,263657,326425.78,12148
Metropolitan Manila Third District,Malabon,Bayan-bayanan,89768.94,15116.08,72062.17,86216.81,6705
Metropolitan Manila Third District,Malabon,Catmon,980329.02,583996.62,748144.18,801801.43,44868
Metropolitan Manila Third District,Malabon,Concepcion,388135.02,169067.93,277484.39,333760.2,12704
Metropolitan Manila Third District,Malabon,Dampalit,2363011.21,1491632.15,1807978.57,2073013.2,13514
Metropolitan Manila Third District,Malabon,Flores,127600.94,23008.15,37624.37,88269.72,3830
Metropolitan Manila Third District,Malabon,Hulong Duhat,548568.63,157285.98,410051.81,511595.68,11892
Metropolitan Manila Third District,Malabon,Ibaba,186469.34,100578.43,176542.4,183728.11,8041
Metropolitan Manila Third District,Malabon,Longos,910427.36,341763.04,653166.52,784476.2,55424
Metropolitan Manila Third District,Malabon,Maysilo,1029415.08,736644.34,889579.12,932035.32,10445
Metropolitan Manila Third District,Malabon,Muzon,330942.68,184167.46,318365.57,325820.11,5908
Metropolitan Manila Third District,Malabon,Niugan,395962.98,312449.96,380421.02,393140.37,7192
Metropolitan Manila Third District,Malabon,Panghulo,1755518.88,1084425.38,1486612.01,1543518.31,17746
Metropolitan Manila Third District,Malabon,Potrero,2805813.57,825625.15,959590.36,1054268.78,42311
Metropolitan Manila Third District,Malabon,San Agustin,334964.22,126298.03,297037.61,325162.1,10804
Metropolitan Manila Third District,Malabon,Santolan,486902.5,221255.17,368135.01,281278.81,13461
Metropolitan Manila Third District,Malabon,Tinajeros,926173.58,641435.6,776319.76,823559.41,18411
Metropolitan Manila Third District,Malabon,Tonsuya,556731.82,331320.42,462406.82,479735.81,40172
Metropolitan Manila Third District,Malabon,Tugatog,608532.11,132637.19,180652.98,210953.28,25526
Metropolitan Manila Third District,Navotas,Sipac-Almacen,222320.89,63770.55,106151.37,156771.13,9163
Metropolitan Manila Third District,Navotas,Bagumbayan North,67641.94,6484.1,10120.02,20318.98,1677
Metropolitan Manila Third District,Navotas,Bagumbayan South,71671.78,25606.47,40923.44,59254.6,4331
Metropolitan Manila Third District,Navotas,Bangculasi,239327.13,83569.46,144002.3,181625.7,8344
Metropolitan Manila Third District,Navotas,Daanghari,318462.88,99144.33,147729.84,185435.91,14348
Metropolitan Manila Third District,Navotas,Navotas East,66195.24,16502.51,36219.43,58465.88,2126
Metropolitan Manila Third District,Navotas,Navotas West,58108.79,3064.67,6713.41,22925.08,6367
Metropolitan Manila Third District,Navotas,NBBS Kaunlaran,878236.25,287596.95,466689.09,512468.7,21916
Metropolitan Manila Third District,Navotas,San Rafael Village,428693.2,337794.57,414106.4,400681.98,3489
Metropolitan Manila Third District,Navotas,San Roque,300373.07,78552.07,118022.19,155658.94,19361
Metropolitan Manila Third District,Navotas,Tangos South,163447.4,14541.7,24849.25,33190.24,18359
Metropolitan Manila Third District,Navotas,Tanza 1,5093668.55,2265164.91,3399626.03,3962080.85,15319
Metropolitan Manila Third District,Navotas,NBBS Dagat-dagatan,407710.64,196637.9,352847.6,389170.07,32681
Metropolitan Manila Third District,Navotas,NBBS Proper,370481.37,58273.66,88076.66,100431.35,18217
Metropolitan Manila Third District,Navotas,Tangos North,218928.73,62925.69,82981.37,101049.12,17514
Metropolitan Manila Third District,Navotas,Tanza 2,662937.72,244135.14,409387.49,535938.68,15638
Metropolitan Manila Third District,Valenzuela,Arkong Bato,377471.32,170122.4,261124.56,185602.22,11358
Metropolitan Manila Third District,Valenzuela,Bagbaguin,1056222.7,200024.83,261837.74,181429.92,15195
Metropolitan Manila Third District,Valenzuela,Balangkas,1229032.29,493662.7,710844.44,541483.77,14318
Metropolitan Manila Third District,Valenzuela,Parada,1457832.58,438743.47,580243.08,441423.92,21001
Metropolitan Manila Third District,Valenzuela,Bignay,3328485.97,1010783.13,1348505.45,359297.9,49716
Metropolitan Manila Third District,Valenzuela,Bisig,147408.03,55795.66,96261.54,96517.01,1432
Metropolitan Manila Third District,Valenzuela,Karuhatan,1902160.36,341318.44,483995.34,311269.48,41275
Metropolitan Manila Third District,Valenzuela,Coloong,1966735.39,1455056.77,1735688.8,905975.27,12550
Metropolitan Manila Third District,Valenzuela,Dalandanan,1198989.32,423788.29,668176.3,345407.33,23640
Metropolitan Manila Third District,Valenzuela,Gen. T. de Leon,3396787.28,523152.22,734534.21,587509.87,95809
Metropolitan Manila Third District,Valenzuela,Isla,469578.29,285005.47,372491.54,330489,5160
Metropolitan Manila Third District,Valenzuela,Lawang Bato,2731405.93,690038.95,903444.23,580431.51,23786
Metropolitan Manila Third District,Valenzuela,Lingunan,1997989.19,829657.8,978918.51,730065.95,24088
Metropolitan Manila Third District,Valenzuela,Mabolo,93163.1,26109.67,61937.25,37548.46,831
Metropolitan Manila Third District,Valenzuela,Malanday,2199108.03,1526393.59,1885991.27,493563.24,19060
Metropolitan Manila Third District,Valenzuela,Malinta,2064681.12,723495.96,868105.94,721471.22,52107
Metropolitan Manila Third District,Valenzuela,Mapulang Lupa,1428843.41,291205.77,385981.09,274326.91,30360
Metropolitan Manila Third District,Valenzuela,Marulas,2502490.27,867297.32,1013000.46,1086727.44,59339
Metropolitan Manila Third District,Valenzuela,Maysan,2138068.52,926187.94,1171883.75,1003747.3,23081
Metropolitan Manila Third District,Valenzuela,Palasan,310632.32,136817.15,216082.23,185405.2,6598
Metropolitan Manila Third District,Valenzuela,Pariancillo Villa,106633.1,39283.56,57376.26,35836.62,1949
Metropolitan Manila Third District,Valenzuela,Paso de Blas,1416023.38,478581.79,605912.48,494854.28,12530
Metropolitan Manila Third District,Valenzuela,Pasolo,487184.64,247592.54,399615.84,320352.19,8150
Metropolitan Manila Third District,Valenzuela,Poblacion,35528.43,8235.69,16069.12,9909.01,221
Metropolitan Manila Third District,Valenzuela,Pulo,50490.11,22063.18,39254.03,27657.41,1126
Metropolitan Manila Third District,Valenzuela,Punturin,1813902.88,390518.76,506586.48,178111.72,24437
Metropolitan Manila Third District,Valenzuela,Rincon,404100.88,207275.11,282614.86,185695.24,6940
Metropolitan Manila Third District,Valenzuela,Tagalag,1347905.18,979948.07,1206582.07,1041194.65,3400
Metropolitan Manila Third District,Valenzuela,Ugong,3346327,594788.51,885875.5,912347.25,55494
Metropolitan Manila Third District,Valenzuela,Viente Reales,1946302.43,934057.94,1151963.15,1121453.01,24399
Metropolitan Manila Third District,Valenzuela,Wawang Pulo,443341.12,246645.08,293236.96,248431.5,4070
Metropolitan Manila Fourth District,Las Piñas,Almanza Uno,2341432.79,455246.26,621360.93,734137.03,36232
Metropolitan Manila Fourth District,Las Piñas,Daniel Fajardo,320537.26,76730.47,115758.54,142670.38,10629
Metropolitan Manila Fourth District,Las Piñas,Elias Aldana,407803.13,111849.07,169080.81,211475.08,10275
Metropolitan Manila Fourth District,Las Piñas,Ilaya,140474.28,45349.7,71373.71,82972.72,7103
Metropolitan Manila Fourth District,Las Piñas,Manuyo Uno,1095336.15,394460.67,573108.71,661885.61,14794
Metropolitan Manila Fourth District,Las Piñas,Pamplona Uno,822621.13,378931.31,448911.22,493605.97,19085
Metropolitan Manila Fourth District,Las Piñas,Pulang Lupa Uno,1428845.05,912398.1,1061824.7,1113162.96,38405
Metropolitan Manila Fourth District,Las Piñas,Talon Uno,1197652.88,200955.72,277028.64,330980.74,42505
Metropolitan Manila Fourth District,Las Piñas,Zapote,597325.16,439005.99,502543.16,523992.52,20851
Metropolitan Manila Fourth District,Las Piñas,Almanza Dos,4850503.77,658275.94,855956.28,1069223.08,37432
Metropolitan Manila Fourth District,Las Piñas,B. F. International Village,2394345.18,477678.66,663733.87,819640.26,81739
Metropolitan Manila Fourth District,Las Piñas,Manuyo Dos,1691172.62,454643.73,616743.29,733708.61,44351
Metropolitan Manila Fourth District,Las Piñas,Pamplona Dos,1127101.86,528469.31,622726.64,685528.38,9141
Metropolitan Manila Fourth District,Las Piñas,Pamplona Tres,2344038.41,712122.82,954488.86,1107113.51,35098
Metropolitan Manila Fourth District,Las Piñas,Pilar,1934784.22,332508.78,472431.11,573735.71,29780
Metropolitan Manila Fourth District,Las Piñas,Pulang Lupa Dos,1989645.54,834718.16,1099773.19,1242707.39,32485
Metropolitan Manila Fourth District,Las Piñas,Talon Dos,4101608.35,1026514.36,1342088.73,1623792.67,43978
Metropolitan Manila Fourth District,Las Piñas,Talon Tres,1493789.36,383717.88,531542.77,623436.6,32963
Metropolitan Manila Fourth District,Las Piñas,Talon Kuatro,710505,165412.91,229243.63,266203.67,20763
Metropolitan Manila Fourth District,Las Piñas,Talon Singko,1764334.03,325876.79,424464.68,510939.59,38684
Metropolitan Manila Fourth District,Makati,Bangkal,894842.99,432151,569716.09,623217.67,21650
Metropolitan Manila Fourth District,Makati,Bel-Air,1716539.95,347712.6,479494.98,472452.57,23685
Metropolitan Manila Fourth District,Makati,Cembo,432596.19,95139.43,115788.06,140810.96,25049
Metropolitan Manila Fourth District,Makati,Comembo,307805.93,87826.37,118492.27,148639.09,15805
Metropolitan Manila Fourth District,Makati,Carmona,366995.16,132486.14,184810.67,173496.03,3109
Metropolitan Manila Fourth District,Makati,Dasmariñas,1960703.3,412708.91,564591.62,663764.48,5589
Metropolitan Manila Fourth District,Makati,East Rembo,538605.97,75490.96,99391.46,160419.6,26448
